PM2.5 AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,AQI Category Numerical,AQI Category
90,5,27,2,1,Moderate
73,2,19,19,1,Moderate
44,1,39,2,0,Good
31,1,31,0,0,Good
50,1,41,0,0,Good
34,1,34,0,0,Good
47,1,22,0,0,Good
83,1,45,0,1,Moderate
45,1,15,0,0,Good
67,1,29,6,1,Moderate
37,1,37,1,0,Good
68,1,26,6,1,Moderate
32,1,32,0,0,Good
70,2,15,13,1,Moderate
54,1,35,1,1,Moderate
158,1,35,0,2,Unhealthy
67,2,15,18,1,Moderate
54,1,29,3,1,Moderate
69,2,29,5,1,Moderate
60,1,28,4,1,Moderate
37,1,37,0,0,Good
53,1,37,2,1,Moderate
31,1,31,0,0,Good
50,1,28,0,0,Good
59,1,38,0,1,Moderate
50,1,18,7,0,Good
41,1,27,6,0,Good
34,1,23,7,0,Good
24,0,24,0,0,Good
32,1,32,1,0,Good
15,0,15,1,0,Good
56,1,36,5,1,Moderate
70,2,20,10,1,Moderate
64,1,37,1,1,Moderate
56,1,29,5,1,Moderate
68,1,38,4,1,Moderate
133,2,86,0,5,Unhealthy for Sensitive Groups
29,1,29,0,0,Good
30,0,30,0,0,Good
37,1,33,1,0,Good
36,1,36,1,0,Good
36,1,34,1,0,Good
77,1,46,0,1,Moderate
72,1,40,1,1,Moderate
41,1,41,1,0,Good
65,2,31,0,1,Moderate
119,1,60,0,5,Unhealthy for Sensitive Groups
39,1,39,0,0,Good
51,2,41,6,1,Moderate
53,1,34,5,1,Moderate
36,1,18,0,0,Good
70,3,7,4,1,Moderate
32,1,6,4,0,Good
92,2,3,3,1,Moderate
35,1,35,2,0,Good
67,2,14,0,1,Moderate
39,1,39,0,0,Good
32,1,4,1,0,Good
35,1,23,0,0,Good
62,1,25,12,1,Moderate
66,2,21,15,1,Moderate
86,1,41,0,1,Moderate
59,1,40,1,1,Moderate
40,1,40,0,0,Good
58,1,10,5,1,Moderate
194,2,114,1,2,Unhealthy
16,1,6,0,0,Good
69,1,38,2,1,Moderate
67,1,31,2,1,Moderate
57,1,39,2,1,Moderate
232,0,8,0,3,Very Unhealthy
42,1,42,0,0,Good
102,2,18,11,5,Unhealthy for Sensitive Groups
30,1,30,0,0,Good
60,1,26,6,1,Moderate
30,0,16,1,0,Good
150,1,34,0,2,Unhealthy
58,1,37,3,1,Moderate
41,1,35,4,0,Good
21,1,21,0,0,Good
28,1,15,3,0,Good
65,2,28,6,1,Moderate
33,1,33,1,0,Good
51,1,35,2,1,Moderate
82,3,18,0,1,Moderate
45,1,23,2,0,Good
43,1,18,0,0,Good
60,1,16,11,1,Moderate
39,1,17,0,0,Good
23,1,15,0,0,Good
43,1,21,0,0,Good
41,1,37,0,0,Good
68,1,21,1,1,Moderate
49,1,25,0,0,Good
26,1,5,0,0,Good
65,2,19,0,1,Moderate
58,1,27,6,1,Moderate
151,4,102,2,2,Unhealthy
37,1,11,2,0,Good
58,1,12,0,1,Moderate
53,1,31,2,1,Moderate
53,1,53,2,1,Moderate
56,0,30,0,1,Moderate
37,0,17,0,0,Good
111,1,20,0,5,Unhealthy for Sensitive Groups
76,2,25,1,1,Moderate
33,1,33,0,0,Good
57,1,32,0,1,Moderate
65,2,41,4,1,Moderate
33,1,33,0,0,Good
49,1,32,1,0,Good
33,1,33,0,0,Good
64,1,36,0,1,Moderate
70,2,17,22,1,Moderate
55,1,37,5,1,Moderate
90,2,14,26,1,Moderate
88,3,10,28,1,Moderate
138,4,3,33,5,Unhealthy for Sensitive Groups
54,1,29,5,1,Moderate
36,1,35,0,0,Good
47,1,43,1,0,Good
34,1,22,10,0,Good
172,3,141,1,2,Unhealthy
61,2,24,14,1,Moderate
57,1,28,0,1,Moderate
80,2,18,8,1,Moderate
39,0,25,0,0,Good
43,1,0,8,0,Good
164,1,35,0,2,Unhealthy
78,1,46,0,1,Moderate
57,1,39,1,1,Moderate
50,1,24,5,0,Good
60,1,16,1,1,Moderate
64,1,11,3,1,Moderate
84,1,64,0,1,Moderate
53,1,16,2,1,Moderate
110,2,17,7,5,Unhealthy for Sensitive Groups
66,2,1,4,1,Moderate
39,1,5,2,0,Good
21,0,21,0,0,Good
36,1,7,2,0,Good
35,1,14,3,0,Good
91,2,39,2,1,Moderate
18,1,9,2,0,Good
72,1,41,0,1,Moderate
37,1,24,6,0,Good
33,0,10,1,0,Good
121,4,3,11,5,Unhealthy for Sensitive Groups
46,1,33,5,0,Good
42,1,42,2,0,Good
13,0,13,1,0,Good
88,2,33,12,1,Moderate
18,0,18,0,0,Good
69,1,45,2,1,Moderate
81,1,24,7,1,Moderate
55,1,50,0,1,Moderate
46,1,26,2,0,Good
121,3,13,19,5,Unhealthy for Sensitive Groups
49,1,49,0,0,Good
41,1,41,0,0,Good
96,0,40,0,1,Moderate
50,1,21,0,0,Good
51,1,22,1,1,Moderate
41,1,41,0,0,Good
127,1,29,0,5,Unhealthy for Sensitive Groups
107,2,17,8,5,Unhealthy for Sensitive Groups
175,6,24,41,2,Unhealthy
54,1,43,1,1,Moderate
159,4,28,12,2,Unhealthy
38,1,38,0,0,Good
61,1,44,1,1,Moderate
71,1,71,1,1,Moderate
59,1,47,5,1,Moderate
52,1,52,1,1,Moderate
50,1,34,2,0,Good
66,1,57,0,1,Moderate
56,1,46,0,1,Moderate
39,1,39,0,0,Good
40,1,40,0,0,Good
62,1,62,1,1,Moderate
54,1,18,2,1,Moderate
51,1,49,1,1,Moderate
87,2,12,5,1,Moderate
80,1,25,6,1,Moderate
86,1,62,0,1,Moderate
22,1,18,1,0,Good
83,1,54,0,1,Moderate
35,1,35,0,0,Good
67,1,67,0,1,Moderate
34,0,18,0,0,Good
80,1,47,0,1,Moderate
107,2,34,5,5,Unhealthy for Sensitive Groups
47,1,32,4,0,Good
36,1,23,4,0,Good
58,1,29,2,1,Moderate
52,1,2,2,1,Moderate
64,1,46,1,1,Moderate
51,1,31,6,1,Moderate
61,2,34,7,1,Moderate
75,3,7,16,1,Moderate
59,1,22,8,1,Moderate
62,1,41,3,1,Moderate
118,2,12,8,5,Unhealthy for Sensitive Groups
169,1,47,0,2,Unhealthy
45,1,45,0,0,Good
26,1,26,1,0,Good
55,1,24,3,1,Moderate
95,5,21,3,1,Moderate
31,1,31,0,0,Good
32,1,22,1,0,Good
156,4,101,11,2,Unhealthy
29,1,27,5,0,Good
92,2,7,14,1,Moderate
79,1,37,1,1,Moderate
31,1,31,3,0,Good
162,1,39,0,2,Unhealthy
36,1,36,0,0,Good
62,2,24,1,1,Moderate
35,0,19,0,0,Good
63,1,16,0,1,Moderate
34,1,34,0,0,Good
201,10,48,8,3,Very Unhealthy
19,1,19,0,0,Good
33,0,28,1,0,Good
164,2,159,5,2,Unhealthy
56,1,48,2,1,Moderate
158,2,104,1,2,Unhealthy
50,2,33,4,0,Good
110,2,41,8,5,Unhealthy for Sensitive Groups
164,3,139,0,2,Unhealthy
90,3,73,2,1,Moderate
165,3,165,1,2,Unhealthy
165,4,3,18,2,Unhealthy
64,1,37,2,1,Moderate
65,1,41,3,1,Moderate
37,1,35,4,0,Good
65,2,16,0,1,Moderate
119,2,83,0,5,Unhealthy for Sensitive Groups
171,4,168,1,2,Unhealthy
101,2,54,1,5,Unhealthy for Sensitive Groups
124,2,124,5,5,Unhealthy for Sensitive Groups
58,1,7,14,1,Moderate
25,0,13,0,0,Good
35,1,35,2,0,Good
93,1,34,5,1,Moderate
64,1,40,1,1,Moderate
28,0,28,2,0,Good
98,3,1,9,1,Moderate
38,0,13,2,0,Good
65,1,17,13,1,Moderate
34,1,32,3,0,Good
57,2,6,4,1,Moderate
75,2,6,6,1,Moderate
48,0,30,0,0,Good
48,0,28,0,0,Good
193,2,140,1,2,Unhealthy
174,4,174,1,2,Unhealthy
49,1,10,3,0,Good
63,1,18,7,1,Moderate
186,2,87,0,2,Unhealthy
66,1,35,1,1,Moderate
55,2,20,15,1,Moderate
62,1,12,5,1,Moderate
65,1,29,2,1,Moderate
35,1,35,1,0,Good
49,1,21,5,0,Good
144,2,99,0,5,Unhealthy for Sensitive Groups
111,2,25,10,5,Unhealthy for Sensitive Groups
41,1,41,1,0,Good
58,2,17,20,1,Moderate
58,1,12,1,1,Moderate
500,1,37,0,4,Hazardous
34,1,9,1,0,Good
121,2,49,2,5,Unhealthy for Sensitive Groups
32,1,25,4,0,Good
77,2,3,6,1,Moderate
38,1,38,0,0,Good
39,1,24,9,0,Good
38,1,38,0,0,Good
65,2,3,7,1,Moderate
74,3,34,16,1,Moderate
77,2,7,7,1,Moderate
98,2,9,16,1,Moderate
66,2,10,8,1,Moderate
44,1,33,1,0,Good
51,1,21,4,1,Moderate
153,4,4,20,2,Unhealthy
35,0,33,1,0,Good
51,1,12,0,1,Moderate
78,1,56,0,1,Moderate
160,2,59,1,2,Unhealthy
33,1,29,3,0,Good
67,0,41,0,1,Moderate
53,2,35,1,1,Moderate
75,1,48,4,1,Moderate
45,1,28,3,0,Good
60,2,15,1,1,Moderate
37,1,37,1,0,Good
75,2,45,0,1,Moderate
88,1,23,4,1,Moderate
45,1,19,5,0,Good
30,1,30,0,0,Good
46,1,43,1,0,Good
71,2,16,0,1,Moderate
113,0,22,0,5,Unhealthy for Sensitive Groups
93,3,69,0,1,Moderate
180,1,58,1,2,Unhealthy
101,3,22,1,5,Unhealthy for Sensitive Groups
500,1,36,0,4,Hazardous
53,0,35,2,1,Moderate
65,1,23,4,1,Moderate
40,1,29,3,0,Good
52,1,13,3,1,Moderate
71,1,22,3,1,Moderate
38,0,32,2,0,Good
26,1,12,0,0,Good
67,1,49,0,1,Moderate
50,1,35,1,0,Good
79,1,48,0,1,Moderate
31,0,30,6,0,Good
33,1,29,5,0,Good
34,0,34,0,0,Good
50,1,37,4,0,Good
32,0,32,1,0,Good
77,2,35,0,1,Moderate
51,2,23,13,1,Moderate
46,1,37,0,0,Good
38,1,15,0,0,Good
84,2,8,8,1,Moderate
61,1,18,7,1,Moderate
64,1,49,1,1,Moderate
59,1,41,2,1,Moderate
46,1,30,0,0,Good
102,2,10,13,5,Unhealthy for Sensitive Groups
65,1,23,1,1,Moderate
31,1,10,1,0,Good
17,0,14,0,0,Good
33,0,33,3,0,Good
19,1,13,2,0,Good
54,1,23,0,1,Moderate
81,1,14,3,1,Moderate
61,2,13,3,1,Moderate
50,2,4,6,0,Good
64,2,15,13,1,Moderate
35,1,4,3,0,Good
174,1,38,0,2,Unhealthy
51,1,31,3,1,Moderate
135,0,23,0,5,Unhealthy for Sensitive Groups
43,1,15,4,0,Good
57,2,24,12,1,Moderate
31,0,27,2,0,Good
37,1,37,1,0,Good
69,1,22,5,1,Moderate
58,2,22,13,1,Moderate
32,1,10,0,0,Good
162,1,48,0,2,Unhealthy
41,1,27,0,0,Good
22,0,12,1,0,Good
31,0,29,1,0,Good
156,7,14,4,2,Unhealthy
26,0,16,0,0,Good
29,1,29,3,0,Good
31,1,12,0,0,Good
168,1,36,0,2,Unhealthy
38,1,38,1,0,Good
39,1,25,3,0,Good
28,0,15,1,0,Good
29,0,29,3,0,Good
50,1,2,3,0,Good
62,1,10,4,1,Moderate
50,1,29,3,0,Good
35,1,11,0,0,Good
37,0,37,0,0,Good
46,1,29,2,0,Good
49,1,11,3,0,Good
17,1,15,1,0,Good
54,1,21,5,1,Moderate
31,1,23,1,0,Good
60,0,24,0,1,Moderate
114,3,15,7,5,Unhealthy for Sensitive Groups
56,1,10,21,1,Moderate
196,13,6,13,2,Unhealthy
187,2,47,3,2,Unhealthy
63,1,31,1,1,Moderate
30,1,11,2,0,Good
76,1,20,1,1,Moderate
114,3,11,3,5,Unhealthy for Sensitive Groups
64,2,15,6,1,Moderate
43,1,7,6,0,Good
35,1,23,4,0,Good
31,1,21,5,0,Good
55,1,27,9,1,Moderate
43,1,40,3,0,Good
44,1,38,2,0,Good
32,1,32,1,0,Good
74,2,15,18,1,Moderate
20,0,16,0,0,Good
39,1,35,3,0,Good
56,2,19,8,1,Moderate
31,1,11,2,0,Good
500,4,149,4,4,Hazardous
209,2,103,1,3,Very Unhealthy
28,0,18,0,0,Good
49,1,49,0,0,Good
57,1,30,3,1,Moderate
81,1,21,4,1,Moderate
39,1,39,0,0,Good
152,1,37,0,2,Unhealthy
54,1,30,6,1,Moderate
62,1,41,7,1,Moderate
36,0,33,1,0,Good
73,2,13,7,1,Moderate
27,1,27,1,0,Good
44,1,44,4,0,Good
37,1,37,0,0,Good
249,1,47,0,3,Very Unhealthy
52,1,14,12,1,Moderate
74,1,41,0,1,Moderate
59,1,31,0,1,Moderate
55,1,18,5,1,Moderate
33,0,33,1,0,Good
44,1,36,0,0,Good
58,1,31,2,1,Moderate
67,1,37,3,1,Moderate
35,1,35,0,0,Good
37,1,37,0,0,Good
50,0,28,0,0,Good
121,1,49,1,5,Unhealthy for Sensitive Groups
52,0,26,0,1,Moderate
109,3,66,2,5,Unhealthy for Sensitive Groups
153,4,146,3,2,Unhealthy
195,1,45,0,2,Unhealthy
166,1,73,1,2,Unhealthy
25,1,25,0,0,Good
103,1,27,2,5,Unhealthy for Sensitive Groups
64,2,18,0,1,Moderate
92,2,54,3,1,Moderate
75,3,15,1,1,Moderate
69,2,25,2,1,Moderate
48,1,11,3,0,Good
224,2,85,1,3,Very Unhealthy
38,1,38,2,0,Good
167,3,164,3,2,Unhealthy
30,1,30,2,0,Good
42,1,32,0,0,Good
30,1,22,3,0,Good
51,1,26,3,1,Moderate
121,1,22,3,5,Unhealthy for Sensitive Groups
199,1,43,0,2,Unhealthy
60,0,26,0,1,Moderate
29,1,29,5,0,Good
99,1,47,0,1,Moderate
118,1,95,1,5,Unhealthy for Sensitive Groups
27,1,27,0,0,Good
39,2,36,6,0,Good
79,2,60,1,1,Moderate
48,0,31,2,0,Good
28,1,22,0,0,Good
103,2,22,9,5,Unhealthy for Sensitive Groups
59,1,13,0,1,Moderate
69,1,39,1,1,Moderate
115,3,14,12,5,Unhealthy for Sensitive Groups
16,1,12,0,0,Good
60,1,31,3,1,Moderate
57,0,29,0,1,Moderate
43,2,43,4,0,Good
57,2,12,7,1,Moderate
66,1,31,3,1,Moderate
120,4,12,35,5,Unhealthy for Sensitive Groups
39,1,29,3,0,Good
25,0,3,2,0,Good
88,2,66,1,1,Moderate
50,1,28,3,0,Good
159,5,95,4,2,Unhealthy
31,0,30,3,0,Good
44,1,44,0,0,Good
38,0,20,0,0,Good
90,1,15,0,1,Moderate
53,1,34,0,1,Moderate
152,0,31,0,2,Unhealthy
242,1,73,1,3,Very Unhealthy
39,1,25,0,0,Good
53,1,18,9,1,Moderate
53,0,27,0,1,Moderate
29,1,29,0,0,Good
39,0,31,1,0,Good
68,1,39,0,1,Moderate
54,1,36,2,1,Moderate
40,1,40,1,0,Good
43,1,7,3,0,Good
24,0,24,0,0,Good
31,0,31,1,0,Good
75,2,19,9,1,Moderate
176,3,176,1,2,Unhealthy
305,1,48,1,4,Hazardous
41,1,41,0,0,Good
29,1,29,0,0,Good
101,1,36,4,5,Unhealthy for Sensitive Groups
54,1,32,5,1,Moderate
51,1,19,4,1,Moderate
57,1,23,5,1,Moderate
109,4,6,9,5,Unhealthy for Sensitive Groups
78,1,36,2,1,Moderate
69,2,8,15,1,Moderate
32,0,28,1,0,Good
190,1,38,0,2,Unhealthy
52,1,25,1,1,Moderate
54,2,40,0,1,Moderate
53,1,32,3,1,Moderate
35,0,34,0,0,Good
135,1,48,0,5,Unhealthy for Sensitive Groups
29,0,14,2,0,Good
34,1,24,7,0,Good
36,1,36,0,0,Good
50,0,20,0,0,Good
200,5,200,6,2,Unhealthy
53,1,34,4,1,Moderate
57,1,31,1,1,Moderate
63,1,55,2,1,Moderate
60,1,33,4,1,Moderate
140,1,22,3,5,Unhealthy for Sensitive Groups
141,1,32,1,5,Unhealthy for Sensitive Groups
46,1,36,3,0,Good
188,1,64,2,2,Unhealthy
53,1,9,2,1,Moderate
82,3,10,22,1,Moderate
74,2,15,21,1,Moderate
35,0,35,2,0,Good
153,4,2,19,2,Unhealthy
30,1,26,5,0,Good
40,1,40,2,0,Good
63,1,18,7,1,Moderate
30,1,30,0,0,Good
36,1,34,0,0,Good
41,1,29,1,0,Good
44,1,33,1,0,Good
50,0,29,0,0,Good
77,1,49,3,1,Moderate
42,1,42,0,0,Good
29,1,27,6,0,Good
77,2,8,6,1,Moderate
40,0,19,0,0,Good
151,2,151,1,2,Unhealthy
131,3,9,12,5,Unhealthy for Sensitive Groups
70,1,13,18,1,Moderate
40,2,37,6,0,Good
52,1,10,1,1,Moderate
78,1,28,0,1,Moderate
56,1,8,3,1,Moderate
85,2,3,8,1,Moderate
40,1,16,1,0,Good
35,0,14,2,0,Good
25,0,20,1,0,Good
26,0,19,0,0,Good
46,1,24,2,0,Good
92,1,36,0,1,Moderate
56,1,37,0,1,Moderate
46,1,46,0,0,Good
49,1,49,3,0,Good
42,1,25,4,0,Good
36,0,36,0,0,Good
51,1,24,5,1,Moderate
50,1,23,5,0,Good
46,1,46,2,0,Good
73,1,58,0,1,Moderate
202,8,202,12,3,Very Unhealthy
188,1,40,0,2,Unhealthy
149,2,137,1,5,Unhealthy for Sensitive Groups
113,1,48,0,5,Unhealthy for Sensitive Groups
54,1,44,0,1,Moderate
25,1,25,3,0,Good
42,1,42,0,0,Good
50,1,31,7,0,Good
63,1,30,11,1,Moderate
33,0,18,0,0,Good
24,0,11,0,0,Good
48,1,48,2,0,Good
150,5,13,4,2,Unhealthy
45,1,25,3,0,Good
57,1,24,0,1,Moderate
24,0,14,0,0,Good
69,0,23,0,1,Moderate
39,1,22,3,0,Good
120,2,120,1,5,Unhealthy for Sensitive Groups
185,1,42,0,2,Unhealthy
81,1,81,1,1,Moderate
21,0,18,0,0,Good
150,1,32,0,2,Unhealthy
60,1,28,0,1,Moderate
500,1,33,0,4,Hazardous
85,1,19,0,1,Moderate
60,1,27,0,1,Moderate
36,1,36,0,0,Good
30,1,26,2,0,Good
39,1,18,4,0,Good
60,1,24,1,1,Moderate
61,1,19,0,1,Moderate
64,1,26,13,1,Moderate
67,1,39,1,1,Moderate
50,1,39,4,0,Good
30,0,18,1,0,Good
14,1,9,0,0,Good
41,1,41,0,0,Good
39,1,39,0,0,Good
500,1,44,1,4,Hazardous
88,1,34,3,1,Moderate
20,0,13,0,0,Good
34,1,34,0,0,Good
48,1,15,10,0,Good
29,0,29,2,0,Good
64,1,41,0,1,Moderate
54,1,28,9,1,Moderate
70,2,18,4,1,Moderate
47,1,43,4,0,Good
38,1,29,1,0,Good
22,0,22,0,0,Good
29,0,29,1,0,Good
36,1,25,4,0,Good
47,1,47,0,0,Good
52,1,34,4,1,Moderate
99,3,11,0,1,Moderate
30,0,30,1,0,Good
55,1,18,0,1,Moderate
55,1,14,11,1,Moderate
65,1,22,0,1,Moderate
57,1,35,1,1,Moderate
73,1,73,3,1,Moderate
70,2,27,5,1,Moderate
79,1,38,2,1,Moderate
21,0,21,0,0,Good
51,1,16,11,1,Moderate
33,1,28,3,0,Good
43,1,11,2,0,Good
156,5,1,12,2,Unhealthy
127,4,4,37,5,Unhealthy for Sensitive Groups
140,2,140,2,5,Unhealthy for Sensitive Groups
56,2,19,13,1,Moderate
46,1,26,3,0,Good
106,0,24,0,5,Unhealthy for Sensitive Groups
69,1,58,2,1,Moderate
35,0,29,1,0,Good
86,2,23,4,1,Moderate
71,2,0,6,1,Moderate
184,7,147,18,2,Unhealthy
131,1,27,1,5,Unhealthy for Sensitive Groups
23,1,23,3,0,Good
57,1,33,1,1,Moderate
92,2,92,1,1,Moderate
51,1,32,5,1,Moderate
84,3,1,7,1,Moderate
28,1,28,2,0,Good
35,1,25,2,0,Good
172,3,121,1,2,Unhealthy
95,3,18,2,1,Moderate
51,1,12,8,1,Moderate
159,6,12,3,2,Unhealthy
26,0,26,0,0,Good
66,1,23,0,1,Moderate
37,0,17,0,0,Good
156,1,35,0,2,Unhealthy
30,1,30,4,0,Good
41,1,41,0,0,Good
188,3,153,1,2,Unhealthy
27,1,27,1,0,Good
36,1,12,2,0,Good
30,0,29,1,0,Good
23,0,23,0,0,Good
55,1,17,4,1,Moderate
32,1,25,3,0,Good
184,1,82,1,2,Unhealthy
37,1,37,2,0,Good
29,0,28,1,0,Good
61,2,24,6,1,Moderate
64,1,64,2,1,Moderate
47,1,43,3,0,Good
51,1,18,6,1,Moderate
71,1,30,0,1,Moderate
39,1,39,0,0,Good
38,1,38,2,0,Good
53,1,53,0,1,Moderate
50,1,50,1,0,Good
29,0,29,2,0,Good
32,0,28,1,0,Good
33,1,12,0,0,Good
54,0,29,0,1,Moderate
323,1,39,0,4,Hazardous
31,1,31,2,0,Good
33,0,26,2,0,Good
53,1,32,1,1,Moderate
75,1,40,0,1,Moderate
49,1,49,0,0,Good
35,1,35,2,0,Good
98,1,46,4,1,Moderate
47,1,41,1,0,Good
36,1,24,2,0,Good
30,1,29,1,0,Good
150,2,6,14,2,Unhealthy
24,0,16,0,0,Good
31,1,31,1,0,Good
27,1,26,2,0,Good
31,1,7,2,0,Good
26,1,14,0,0,Good
55,1,5,5,1,Moderate
27,1,14,1,0,Good
65,3,16,0,1,Moderate
153,0,31,0,2,Unhealthy
184,1,87,1,2,Unhealthy
122,2,122,0,5,Unhealthy for Sensitive Groups
169,5,169,11,2,Unhealthy
55,2,51,0,1,Moderate
47,1,3,3,0,Good
45,1,40,0,0,Good
61,2,20,12,1,Moderate
82,1,37,2,1,Moderate
45,2,12,0,0,Good
65,2,34,12,1,Moderate
49,1,49,0,0,Good
49,1,49,1,0,Good
55,1,30,5,1,Moderate
155,2,47,1,2,Unhealthy
60,0,28,0,1,Moderate
59,1,28,1,1,Moderate
89,0,21,0,1,Moderate
165,1,47,0,2,Unhealthy
112,0,30,0,5,Unhealthy for Sensitive Groups
500,1,61,3,4,Hazardous
40,1,40,0,0,Good
71,0,50,0,1,Moderate
31,1,27,2,0,Good
165,2,45,2,2,Unhealthy
61,2,16,15,1,Moderate
193,4,172,1,2,Unhealthy
47,1,27,0,0,Good
49,1,4,3,0,Good
132,2,44,10,5,Unhealthy for Sensitive Groups
41,1,41,0,0,Good
33,1,33,2,0,Good
13,1,6,1,0,Good
33,1,28,2,0,Good
150,1,24,1,2,Unhealthy
40,1,27,5,0,Good
52,1,46,3,1,Moderate
60,1,13,5,1,Moderate
93,3,1,5,1,Moderate
50,1,22,10,0,Good
75,1,19,8,1,Moderate
87,1,18,3,1,Moderate
500,1,41,1,4,Hazardous
34,0,18,0,0,Good
47,1,47,1,0,Good
70,1,23,1,1,Moderate
30,1,16,0,0,Good
65,2,2,5,1,Moderate
60,2,2,9,1,Moderate
72,1,21,0,1,Moderate
55,2,4,7,1,Moderate
41,1,41,2,0,Good
70,0,26,0,1,Moderate
189,1,46,0,2,Unhealthy
50,1,29,0,0,Good
29,1,13,1,0,Good
61,1,38,0,1,Moderate
36,1,30,1,0,Good
23,0,19,0,0,Good
80,1,16,0,1,Moderate
65,0,32,1,1,Moderate
24,0,12,0,0,Good
155,4,12,11,2,Unhealthy
20,1,4,1,0,Good
32,1,32,1,0,Good
175,3,104,3,2,Unhealthy
25,0,22,0,0,Good
171,3,171,3,2,Unhealthy
64,1,35,2,1,Moderate
216,0,31,0,3,Very Unhealthy
38,1,38,1,0,Good
56,2,32,1,1,Moderate
75,1,75,0,1,Moderate
38,1,9,1,0,Good
27,0,21,0,0,Good
35,1,35,0,0,Good
68,1,30,1,1,Moderate
46,1,37,0,0,Good
36,1,36,1,0,Good
38,1,38,1,0,Good
87,1,35,2,1,Moderate
102,1,36,2,5,Unhealthy for Sensitive Groups
92,2,16,4,1,Moderate
25,0,20,0,0,Good
46,1,5,1,0,Good
50,2,38,7,0,Good
41,1,41,1,0,Good
34,1,34,0,0,Good
64,1,36,1,1,Moderate
52,1,29,0,1,Moderate
92,2,42,2,1,Moderate
67,0,27,0,1,Moderate
62,1,15,12,1,Moderate
69,1,48,5,1,Moderate
124,1,19,2,5,Unhealthy for Sensitive Groups
50,1,31,0,0,Good
65,1,42,0,1,Moderate
73,1,37,1,1,Moderate
49,3,10,0,0,Good
50,1,10,2,0,Good
22,1,7,1,0,Good
62,2,32,8,1,Moderate
58,1,41,2,1,Moderate
60,2,40,4,1,Moderate
12,1,1,0,0,Good
34,1,27,4,0,Good
64,1,41,0,1,Moderate
71,1,33,1,1,Moderate
26,1,24,4,0,Good
63,2,12,0,1,Moderate
62,1,36,0,1,Moderate
114,4,28,20,5,Unhealthy for Sensitive Groups
36,1,36,4,0,Good
100,0,26,0,5,Unhealthy for Sensitive Groups
35,0,35,1,0,Good
42,1,17,6,0,Good
123,1,41,0,5,Unhealthy for Sensitive Groups
69,1,35,1,1,Moderate
211,1,64,0,3,Very Unhealthy
31,1,31,0,0,Good
64,1,22,10,1,Moderate
41,1,41,0,0,Good
76,2,28,11,1,Moderate
145,4,8,21,5,Unhealthy for Sensitive Groups
87,3,29,5,1,Moderate
162,5,19,33,2,Unhealthy
105,1,13,6,5,Unhealthy for Sensitive Groups
53,1,38,3,1,Moderate
58,1,56,2,1,Moderate
72,2,26,7,1,Moderate
39,0,22,0,0,Good
60,2,28,6,1,Moderate
52,1,8,15,1,Moderate
35,1,35,2,0,Good
88,1,37,2,1,Moderate
85,1,41,3,1,Moderate
119,3,14,2,5,Unhealthy for Sensitive Groups
53,1,14,1,1,Moderate
74,1,44,1,1,Moderate
37,1,37,0,0,Good
73,1,27,2,1,Moderate
50,1,45,0,0,Good
17,0,17,0,0,Good
135,2,114,1,5,Unhealthy for Sensitive Groups
18,0,18,0,0,Good
36,1,36,1,0,Good
99,1,19,2,1,Moderate
42,1,31,3,0,Good
55,1,36,4,1,Moderate
18,0,17,0,0,Good
38,1,38,0,0,Good
39,1,39,1,0,Good
63,1,42,2,1,Moderate
63,1,48,0,1,Moderate
153,1,20,0,2,Unhealthy
75,1,38,1,1,Moderate
32,1,32,0,0,Good
37,1,27,0,0,Good
65,1,24,4,1,Moderate
82,0,22,0,1,Moderate
59,1,41,0,1,Moderate
43,1,36,0,0,Good
68,1,48,0,1,Moderate
53,1,46,1,1,Moderate
40,1,32,1,0,Good
108,1,22,16,5,Unhealthy for Sensitive Groups
41,1,27,5,0,Good
35,1,35,1,0,Good
64,2,15,0,1,Moderate
63,2,16,0,1,Moderate
104,1,41,0,5,Unhealthy for Sensitive Groups
73,1,41,0,1,Moderate
152,1,30,0,2,Unhealthy
64,1,41,2,1,Moderate
33,1,33,0,0,Good
65,0,19,0,1,Moderate
36,1,36,1,0,Good
67,1,48,5,1,Moderate
36,1,17,6,0,Good
50,1,45,0,0,Good
154,1,46,0,2,Unhealthy
60,1,35,3,1,Moderate
36,0,36,0,0,Good
35,0,35,1,0,Good
30,1,30,2,0,Good
62,1,33,4,1,Moderate
97,3,16,12,1,Moderate
53,1,27,6,1,Moderate
100,2,20,9,5,Unhealthy for Sensitive Groups
28,1,28,3,0,Good
75,1,33,6,1,Moderate
53,1,34,4,1,Moderate
49,1,40,0,0,Good
37,1,31,0,0,Good
38,1,38,0,0,Good
31,1,19,1,0,Good
53,2,35,5,1,Moderate
63,1,37,0,1,Moderate
30,0,30,2,0,Good
84,1,37,1,1,Moderate
66,1,19,0,1,Moderate
49,1,35,0,0,Good
151,2,130,0,2,Unhealthy
35,1,35,0,0,Good
41,1,41,0,0,Good
61,2,26,7,1,Moderate
38,1,28,0,0,Good
117,3,8,32,5,Unhealthy for Sensitive Groups
36,1,36,0,0,Good
54,1,24,0,1,Moderate
50,1,41,3,0,Good
40,1,33,2,0,Good
53,0,22,0,1,Moderate
30,0,30,2,0,Good
33,0,33,1,0,Good
133,2,122,3,5,Unhealthy for Sensitive Groups
40,1,20,5,0,Good
37,1,30,5,0,Good
42,1,21,7,0,Good
